,Id,neg,neu,pos,compound,Date,User,Tweet,Comment,RT,Like
96,pedrocertezas,0.0,1.0,0.0,0.0,2022-07-21 15:04:17+00:00,TrungTPhan,"ESPN phone (2006)

This ESPN-branded flip phone provided grainy video highlights and 24/7 sports news. It cost $399 or ""free"" with a $65-$225/month plan. 

It lasted &lt;1yr, with Steve Jobs telling ESPN execs ""“Your phone is the dumbest f***ing idea I have ever heard.” https://t.co/fu7qbVJjsN",66,739,21128
97,exlawyernft,0.0,1.0,0.0,0.0,2022-07-20 23:06:09+00:00,EdRaposo_,"Juiz e promotor podem dar pitaco à vontade sobre TI como se fossem o Steve Jobs, mas tente debater direito com eles sem ser advogado e veja a mágica acontecer.",62,1509,9174
98,AnnSloan22,0.0,0.965,0.035,0.1779,2022-07-20 22:46:49+00:00,johnrich,"20 years ago we had Steve Jobs, Bob Hope and Johnny Cash. Now we have no Jobs, no Hope and no Cash! Please Lord, don’t let anything happen to @kevinbacon !!! #IloveBacon 
#Progress @RedneckRiviera",444,2128,14389
99,JulioRazona,0.0,1.0,0.0,0.0,2022-07-20 02:27:06+00:00,Wifesucker,"10 years ago we had Steve Jobs, Bob Hope and Johnny Cash - Now we have no Jobs, no Hope and no Cash. Please don’t let David Gayporn die 😫",43,3076,37079
100,Inconforme75,0.0,1.0,0.0,0.0,2022-07-19 02:35:14+00:00,Scobleizer,"“Elon Musk is an asshole.”

My family reminded me of that yesterday.

They all carry iPhones. Wait until they learn about the kind of person Steve Jobs was.",182,145,2613
101,9to5mac,0.0,0.795,0.205,0.6597,2022-07-17 09:31:01+00:00,UberFacts,"Steve Jobs believed his commitment to a vegan diet meant his body was free from odor, so he didn't need to wear deodorant or shower regularly

His coworkers said that he was ""very, very wrong""",33,198,2494
102,porquetendencia,0.0,1.0,0.0,0.0,2022-07-11 01:01:06+00:00,charliekirk11,Remember— Steve Jobs didn't let his kids use iPads.,123,982,6746
103,jdoedoe101101,0.0,1.0,0.0,0.0,2022-07-09 21:00:03+00:00,fuedicho,"""Cuando alguien ama lo que hace, se nota. Cuando no amas lo que haces, se nota aún más"".
Steve Jobs 
#Fuedicho https://t.co/c6ZQyR7gnO",13,903,3412
104,filsde_p,0.0,1.0,0.0,0.0,2022-07-09 06:13:08+00:00,PsyPapers,"10 Netflix movies that will Change the way you see the World

1. Steve Jobs https://t.co/i1wtoGBYzx",129,3545,12950
105,desesprite,0.0,1.0,0.0,0.0,2022-07-08 14:25:36+00:00,TrungTPhan,"Steve Jobs famously said innovation is ""saying no to 1000 things"" before you say yes.

For more than a decade, Apple has used Pablo Picasso's Bull to drive home the lesson. 

Here's a breakdown 🧵 https://t.co/eCt6fdHpix",288,4252,20512
106,jspeiser,0.27,0.605,0.125,-0.8271,2022-07-08 11:42:01+00:00,_Eduphile,"10 Netflix movies that will Change the way you see the World

1. Steve jobs https://t.co/QB64xSSpVQ",59,2372,7670
107,xtinebianx,0.0,0.839,0.161,0.3612,2022-07-06 08:24:41+00:00,dril,what did Steve Jobs smoke to come up with all his famous ideas,62,173,2857
108,hello_helly_,0.0,1.0,0.0,0.0,2022-07-01 15:01:51+00:00,JakeSherman,"BIDEN is giving the Presidential Medal of Freedom to Gabby Giffords, Simone Biles, Steve Jobs, John McCain, Megan Rapinoe, Alan Simpson, Richard Trumka and Denzel Washington. Among others",744,2180,19796
109,gay_reactions,0.0,1.0,0.0,0.0,2022-06-29 01:23:01+00:00,UberFacts,"When Steve Jobs was on his deathbed, he requested five different oxygen masks so he could choose the one with the best design",50,170,3364
110,ezralevant,0.0,0.796,0.204,0.8481,2022-06-24 09:31:01+00:00,UberFacts,"When Steve Jobs accused Bill Gates of stealing the idea for Windows from Apple, Gates said:

 ""Well, Steve… I think it's more like we both had this rich neighbor named Xerox and I broke into his house to steal the TV set and found out that you had already stolen it""",10,240,2820
111,Santiago_Oria,0.0,1.0,0.0,0.0,2022-06-23 18:09:06+00:00,TechBroDrip,Steve Jobs (1981) https://t.co/wY2EEsRD8V,50,292,4189
112,barrettjoneill,0.0,1.0,0.0,0.0,2022-06-22 05:50:08+00:00,Ranboosaysstuff,@Quackity AMEN THIS IS ME WITH STEVE JOBS BUT BLURRY https://t.co/y33Ysq0RR7,141,503,50356
113,AravSrinivas,0.0,1.0,0.0,0.0,2022-06-20 12:45:01+00:00,SteveOnSpeed,"Steve Jobs died at 56. 

Kobe Bryant died at 41. 

Marilyn Monroe died at 36. 

Jimi Hendrix died at 27. 

Why didn't I spend another 10 years in an office to stockpile more cash?

Because it ain't worth it.",70,272,2639
114,darrenchait,0.0,1.0,0.0,0.0,2022-06-19 15:00:57+00:00,tyooning,steve jobs could never https://t.co/VgUP97cduj,5,453,4756
